year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,GTE CA 2022,552.838,159.656,,,,,,,,,,,,,,,,,,805.4096,711.388,342.6896,GRAN TIERRA ENERGY INC,36.4455,,589.593,126.873,1335.61

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,118609.82858070977,34253.743034816354,0.0,152863.57161552613
Brookfield Asset Management,606.3027835627342,175.0962799454667,0.0,781.3990635082009
CIBC,101010.204096862,29171.086548480027,0.0,130181.29064534203
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,8564.052831197678,2473.2424667220716,0.0,11037.295297919749
Intact Financial,4273.375456319654,1234.122892880321,0.0,5507.498349199976
Investment Management of Ontario,552.8692967104926,159.66503828537546,0.0,712.534334995868
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,44463.11237783113,12840.656159299846,0.0,57303.76853713098
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,363915.9265727235,105096.54034797671,0.0,469012.4669207002
Scotiabank,73423.9928827487,21204.36910575635,0.0,94628.36198850506
TD,130048.71012319603,37557.21723801364,0.0,167605.92736120967
