year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,HES US 2022,2231.0,435.933,48245.602,,,,,,1.4,,,,1664.04,46580.1992,,,,,,50727.0029,11570.0,43422.0029,HESS CORP,308.1,141.82,9150.0,2486.0,21695.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.013255289704750125,0.0025900574660962954,0.28664720958621653,0.30249255675706294
BMO,0.0040544062742900325,0.0007922229898566011,0.08767701581336315,0.09252364507750979
TD,0.0010281034272603764,0.00020088938205105227,0.02223285836480841,0.02346185117411984
CIBC,0.00018799752325565804,3.673434527360321e-05,0.004065468703489954,0.004290200572019215
Scotiabank,1.6441434119106467e-06,3.212623800916378e-07,3.555479598570061e-05,3.75202017777029e-05
National Bank of Canada,0.01226870089864049,0.002397279959142557,0.26531210982004705,0.2799780906778301
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.007846263397490585,0.0015331443933923187,0.16967637514275974,0.17905578293364263
Fairfax,0.016772112462826998,0.003277237697112309,0.3626989181996301,0.38274826835956943
Intact Financial,0.0013886332498034078,0.00027133619833552173,0.030029358472047823,0.031689327920186756
OMERS,0.0006618191027756576,0.00012931814743626208,0.014311916471619049,0.015103053721830968
HOOPP,0.0009863319087015214,0.0001927273097068491,0.021329544329296707,0.022508603547705078
OTPP,0.0051867072902802465,0.0010134723752459607,0.11216315937376532,0.11836333903929153
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0,0.0,0.0,0.0
CPP,0.0030952541113666594,0.0006048065488706418,0.06693523670520506,0.07063529736544236
