year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,INSW US 2022,1922.82,0.018,,,,,,,,,,,,,,,,,,2569.3404,864.665,1818.4464,INTERNATIONAL SEAWAYS INC,49.3815,37.02,1074.638,323.744,2615.334

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.06272162541606945,5.871528575161742e-07,0.0,0.06272221256892696
BMO,0.04257609534160589,3.985655007483311e-07,0.0,0.04257649390710664
TD,0.009364308961759884,8.766164347764112e-08,0.0,0.00936439662340336
CIBC,0.0037114639177706858,3.47439440612602e-08,0.0,0.003711498661714747
Scotiabank,3.383670808223987e-05,3.16753905971603e-10,0.0,3.383702483614584e-05
National Bank of Canada,0.2524916305039291,2.3636374434792247e-06,0.0,0.2524939941413726
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.003677627209688446,3.44271901552886e-08,0.0,0.003677661636878601
Fairfax,0.3451724887354392,3.2312461890545682e-06,0.0,0.34517571998162827
Intact Financial,0.02857827216683428,2.675283692717036e-07,0.0,0.02857853969520355
OMERS,0.013620332400229118,1.2750334571313182e-07,0.0,0.013620459903574831
HOOPP,0.020298852657961212,1.9002264790427697e-07,0.0,0.020299042680609117
OTPP,0.10674318263106351,9.992496891852296e-07,0.0,0.1067441818807527
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0,0.0,0.0,0.0
CPP,0.06370077515619928,5.963189236702275e-07,0.0,0.06370137147512295
