year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,MAU FP Equity 2022,222.5,0.4,1058.68,,,1055.0,,,3.678,,,,,,,,,,,986.4087,676.48,854.7357,MAUREL ET PROM,197.983,4.015,343.22,225.501,1677.664

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,564631.7978762323,1015.0684006763728,2686576.4607281527,3252223.3270050613
BMO,218142.15493748535,392.1656717977265,1037942.9227186838,1256477.243327967
TD,196523.04507697525,353.29985631815777,935076.9632179866,1131953.30815128
Scotiabank,31403.546733803207,56.455814352904646,149421.32156876096,180881.32411691707
CIBC,24911.8265447436,44.78530614785366,118533.04585499356,143489.657705885
National Bank of Canada,54701.68439202902,98.34010677218701,260276.26889341354,315076.29339221475
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,5144.853549465642,9.249174920387672,24479.745015915447,29633.847740301477
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,814.5237176825539,1.4643123014517823,3875.588046690925,4691.576076674931
OMERS,0.0,0.0,0.0,0.0
CPPIB,303817.08638120536,546.1880204605939,1445593.1028129514,1749956.3772146173
Healthcare of Ontario Pension Plan Trust Fund,160232.87666585122,288.0591041183842,762404.5905746069,922925.5263445765
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,698.4235009722889,1.2555928107366991,3323.171214212768,4022.8503079957936
