year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,MCOL IJ Equity 2022,351.268,0.0,0.021,,,,,,0.112,,,,,,,,,,,1404.0194,,1599.2799,PRIMA ANDALAN MANDIRI TBK PT,3555.56,6975.0,68.8811,288.8273,734.627

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,211482.5546622577,0.0,67.43012777188035,211549.9847900296
BMO,131678.94426985545,0.0,41.98515594424716,131720.9294257997
TD,50101.071033281914,0.0,15.974469509683702,50117.045502791596
Scotiabank,40686.80338945046,0.0,12.972778561151179,40699.77616801162
CIBC,99357.1817841267,0.0,31.679527767465846,99388.86131189417
National Bank of Canada,66174.205555888,0.0,21.09930600640951,66195.3048618944
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,2595.941143260789,0.0,0.8277025178644464,2596.7688457786535
Fairfax,289.92658508369925,0.0,0.09244160449962512,290.0190266881989
Intact Financial,393.81694473869146,0.0,0.12556651277865746,393.94251125147014
OMERS,0.0,0.0,0.0,0.0
CPPIB,27038.948679339996,0.0,8.621230092368446,27047.569909432365
Healthcare of Ontario Pension Plan Trust Fund,49938.316791200836,0.0,15.922576154430503,49954.239367355265
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,3404.4409612101044,0.0,1.0854885376849919,3405.5264497477892
