year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,PAMP AR Equity 2022,7795.25,14.64,,,,,,,,,,,,,,,,,,762848.2699,242182.0,598106.2699,PAMPA ENERGIA SA,1381.0,439.9,287555.0,123970.0,840064.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,5015.951630554876,9.420292084451864,0.0,5025.371922639328
BMO,1891.967235921464,3.553240798420863,0.0,1895.5204767198848
TD,3153.3352038181,5.922174065475384,0.0,3159.2573778835754
Scotiabank,575.8467150120074,1.0814785809019323,0.0,576.9281935929093
CIBC,881.8406306594712,1.656155586139593,0.0,883.4967862456108
National Bank of Canada,286.3528546166809,0.5377897811600921,0.0,286.89064439784096
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,165.76951244229048,0.3113262130342366,0.0,166.08083865532473
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,978.3907170005743,1.8374830950756433,0.0,980.22820009565
Healthcare of Ontario Pension Plan Trust Fund,139.24691178028394,0.26151499803897976,0.0,139.50842677832293
OTPP,16.03085936819068,0.03010702429688741,0.0,16.06096639248757
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,15.261899447277472,0.02866286622085785,0.0,15.290562313498329
