year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,PSX US 2022,24800.0,6400.0,354000.0,,,,,,,,,,,354000.0,,,,,,65181.0412,175702.0,48485.0412,PHILLIPS 66,471.497,104.08,18217.0,6133.0,76442.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,797.8084424108936,205.88604965442414,11388.072121510335,12391.766613575652
Brookfield Asset Management,35.05039818342981,9.045264047336728,500.31616761831276,544.4118298490793
CIBC,172.6351673183687,44.551010920869345,2464.2277915605855,2681.4139697998235
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,329.96682696435454,85.15272953918826,4710.010352636351,5125.129909139894
Intact Financial,25.063400379249344,6.467974291419186,357.7598279941237,389.29120266479225
Investment Management of Ontario,2.0306469286861204,0.5240379170802891,28.98584728850349,31.5405321342699
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,26.231661735702517,6.76946109308452,374.43581671123746,407.4369395400245
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,787.667483718669,203.2690280564307,11243.318114371323,12234.254626146423
Scotiabank,78.4213337948035,20.23776355994929,1119.4012969096952,1218.060394264448
TD,316.0530592681027,81.56207981112325,4511.402539552756,4909.017678631982
