year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,PXD US Equity 2022,2867.86,482.284,162000.0,,,,,,,,,13000.0,31000.0,118000.0,,,,,,58662.262,16310.0,53908.262,PIONEER NATURAL RESOURCES CO,240.0,228.39,5786.0,1032.0,35740.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,32629.117001026672,5487.192911691347,1843157.251109301,1881273.5610220192
BMO,22836.104709515585,3840.315748929171,1289968.4653161329,1316644.8857745777
TD,4920.365850414543,827.451034500055,277942.1825916035,283689.9994765181
Scotiabank,2361.073382777579,397.05840429431765,133372.5802549524,136130.7120420243
CIBC,21796.279096885002,3665.449731842588,1231230.6785182576,1256692.407346985
National Bank of Canada,2004.747180311619,337.1355258309014,113244.38543390622,115586.26814004875
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,104.21663640352568,17.525965797227894,5887.001142793289,6008.743744994043
Fairfax,12.129348187852914,2.0397754986053904,685.1639921168298,699.3331158032881
Intact Financial,758.9886429653399,127.63805718685569,42873.83629618777,43760.462996339964
OMERS,0.0,0.0,0.0,0.0
CPPIB,37148.841968973145,6247.268730051063,2098467.9862244492,2141864.0969234733
Healthcare of Ontario Pension Plan Trust Fund,574.3884753695083,96.59410551948419,32446.121153006196,33117.10373389519
OTPP,82.4582881191755,13.866894837010326,4657.91310430301,4754.238287259196
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,103.15265849231052,17.34703812191163,5826.899038221637,5947.39873483586
