year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,SMC PM Equity 2022,17580.4,734.868,,,,,,,,,,,,,,,,,,1697409.188,1506591.0,221583.1879,SAN MIGUEL CORP,2384.0,92.95,1431375.0,320095.0,2391825.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,111056.10102110099,4642.191010737778,0.0,115698.29203183876
BMO,52852.865931711785,2209.2716821861377,0.0,55062.137613897925
TD,29777.7129651992,1244.720732822348,0.0,31022.43369802155
Scotiabank,19988.67006462091,835.5346859598097,0.0,20824.20475058072
CIBC,34272.242035922085,1432.5939091518958,0.0,35704.83594507398
National Bank of Canada,23719.63141523157,991.4904153971692,0.0,24711.12183062874
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,912.6474942280583,38.149043183794724,0.0,950.796537411853
OMERS,0.0,0.0,0.0,0.0
CPPIB,21151.07973496215,884.1238915310325,0.0,22035.20362649318
Healthcare of Ontario Pension Plan Trust Fund,15621.481620537696,652.9844005552374,0.0,16274.466021092932
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1229.7692915356781,51.4048656306023,0.0,1281.1741571662803
