year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,SWX US 2022,375.224,6.145,,,,,,,,,,,,,,,,,,10271.2476,4960.009,4153.3326,SOUTHWEST GAS HOLDINGS INC,65.558,61.88,6081.644,123.078,13196.614

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.005358868203331465,8.776156405099847e-05,0.0,0.005446629767382463
BMO,0.0036376557851398664,5.957346758119011e-05,0.0,0.0036972292527210565
TD,0.0008000764841226538,1.3102759937886987e-05,0.0,0.0008131792440605408
CIBC,0.0003171034845608079,5.19316704855277e-06,0.0,0.00032229665160936067
Scotiabank,2.8909719390159123e-06,4.7345112693358586e-08,0.0,2.9383170517092707e-06
National Bank of Canada,0.021572613294682928,0.0003532921899873851,0.0,0.021925905484670313
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.000314212512621792,5.145821935859411e-06,0.0,0.0003193583345576514
Fairfax,0.0294911661213937,0.0004829734127240376,0.0,0.029974139534117736
Intact Financial,0.002441696831118221,3.998738627385633e-05,0.0,0.002481684217392077
OMERS,0.0011637065483269989,1.9057887393848498e-05,0.0,0.0011827644357208474
HOOPP,0.001734312134790265,2.8402629011700148e-05,0.0,0.0017627147638019651
OTPP,0.009120022695991168,0.000149357555665058,0.0,0.009269380251656226
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0,0.0,0.0,0.0
CPP,0.005442525703816738,8.913161324956254e-05,0.0,0.0055316573170663
