year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,TDW US 2022,860.594,1.465,,,,,,,,,,,,,,,,,,1875.4035,647.684,1862.9215,TIDEWATER INC,44.132,36.85,176.652,164.192,1297.656

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,4.731338666195006,0.008054217373088453,0.0,4.739392883568095
BMO,2.6703610879653277,0.004545789296543091,0.0,2.6749068772618707
TD,0.20479858955087482,0.0003486312171500517,0.0,0.20514722076802488
CIBC,1.0581114173001922,0.0018012363859668805,0.0,1.0599126536861592
Scotiabank,0.3001973523790455,0.000511029732063321,0.0,0.3007083821111088
National Bank of Canada,0.8013391674753875,0.0013641297526492662,0.0,0.8027032972280367
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0018621581285094408,3.1699752243988814e-06,0.0,0.0018653281037338397
Fairfax,0.15080016145822572,0.000256709013235394,0.0,0.15105687047146113
Intact Financial,0.05458557842292336,9.292171731337043e-05,0.0,0.05467850014023673
OMERS,0.07324596429318143,0.00012468752709118448,0.0,0.07337065182027262
HOOPP,0.01195181223041336,2.0345720418171135e-05,0.0,0.01197215795083153
OTPP,0.0466343341391465,7.938621407289572e-05,0.0,0.0467137203532194
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0035182823881736293,5.989216400154274e-06,0.0,0.0035242716045737837
CPP,0.3202191324454627,0.0005451130603195035,0.0,0.3207642455057822
