year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,TRP CA 2022,21132.0,2114.0,3518.69,,,3480.79,,22.901,6.0,,9.0,,,,,,,,,115689.64,14977.0,54951.64,TC ENERGY CORP,995.0,,58733.0,620.0,114348.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,41640.193901765255,4165.595774575609,6933.511996990171,52739.301673331036
Brookfield Asset Management,694.4217891950085,69.46846783826652,115.62822732559027,879.5184843588653
CIBC,32253.548891134094,3226.5759206822586,5370.540990029033,40850.66580184539
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,4342.584460227211,434.42284445013837,723.0840837091304,5500.09138838648
Intact Financial,1938.66834882453,193.94022758920391,322.80782088745667,2455.4163973011905
Investment Management of Ontario,131.79090902473519,13.184080147562476,21.944514739123345,166.919503911421
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,15824.87601345474,1583.0866880770075,2635.001363082485,20042.964064614232
OMERS,1684.595454694346,168.52331966798445,280.50212308697246,2133.620897449303
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,116526.99145605118,11657.110540322365,19402.918611275985,147587.02060764952
Scotiabank,28748.301574111345,2875.9184898576273,4786.881980603417,36411.10204457239
TD,45682.68753682329,4569.998175887016,7606.627933543075,57859.31364625338
