year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,WMB US 2022,13240.0,1780.0,22118.0,,,,,,2.896,26.786,,,,22088.3008,,,,,,65242.2,10965.0,40072.2,WILLIAMS COS INC,1218.362,32.9,22727.0,152.0,48433.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.21123595609924087,0.028398791681015768,0.35287864378735384,0.5925133915676105
BMO,0.10404839564585922,0.013988379475047538,0.1738172677690868,0.29185404288999356
TD,0.011078763831284531,0.001489441058888706,0.018507545911300105,0.031075750801473342
CIBC,0.011619304155998423,0.001562111888042084,0.01941054150078109,0.032591957544821595
Scotiabank,0.033472860486821285,0.004500127769376276,0.05591783629262182,0.09389082454881938
National Bank of Canada,0.07889575915472573,0.010606831668837748,0.13179871933362283,0.22130131015718632
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.05105528920298861,0.006863928608861006,0.08529003084899757,0.1432092486608472
Fairfax,0.10785563657598035,0.014500229086498869,0.1801774255793493,0.30253329124182854
Intact Financial,0.008929818677287496,0.001200534535164029,0.014917641685148308,0.025047994897599832
OMERS,0.020415639770214763,0.002744700815028873,0.03410519405503067,0.057265534640274306
HOOPP,0.006342758321230179,0.00085272732717445,0.010595847390749697,0.017791333039154325
OTPP,0.03335391518309452,0.004484136633376755,0.05571913310667246,0.09355718492314373
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.011921623469637306,0.0016027560253741996,0.019915578765069053,0.03343995826008056
CPP,0.0199045053678111,0.002675983350053154,0.03325132230874272,0.055831811026606976
