year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,XOM US 2022,99000.0,8000.0,720000.0,,,,,,,,,,,720000.0,,,,,,474820.6,413680.0,450244.6,EXXON MOBIL CORP,4205.0,110.3,46792.0,29640.0,369067.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.39167860092047746,0.031650796033977975,2.8485716430580177,3.271901040012473
BMO,0.13468229269157256,0.010883417591238186,0.9795075832114367,1.1250732934942476
TD,0.06896881161928428,0.005573237302568426,0.5015913572311583,0.576133406153011
CIBC,0.014590169432348551,0.0011790035904928123,0.10611032314435309,0.12187949616719446
Scotiabank,0.00577801932549552,0.0004669106525652945,0.0420219587308765,0.04826688870893732
National Bank of Canada,0.05250438095204251,0.00424277825875091,0.3818500432875819,0.4385972024983753
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0007704612115281337,6.225949184065727e-05,0.005603354265659155,0.0064360749690279455
Fairfax,0.07177690526438296,0.005800153960758219,0.5220138564682397,0.5995909156933809
Intact Financial,0.005942709807069313,0.00048021897430863136,0.043219707687776825,0.04964263646915477
OMERS,0.0028322804982003117,0.00022887115136972216,0.020598403623274995,0.02365955527284503
HOOPP,0.00880357476802609,0.0007113999812546336,0.06402599831291703,0.07354097306219776
OTPP,0.022196714852326934,0.0017936739274607625,0.16143065347146862,0.18542104225125633
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0015536754910553062,0.00012554953463073183,0.011299458116765864,0.012978683142451902
CPP,0.017368139451311576,0.001403486016267602,0.1263137414640842,0.14508536693166338
