year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,AROC US 2023,17.663,4.3,12800.0,,,,,,,,,,,,,,,,,4000.8068,990.337,2401.8448,ARCHROCK INC,154.126,15.4,1600.3,1.338,2655.95

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,120.01005853334071,29.21605908924673,0.0,149.22611762258745
Brookfield Asset Management,2.9726573094980995,0.723683770075402,0.0,3.6963410795735014
CIBC,29.468582501250705,7.174030728380118,0.0,36.642613229630825
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,27.046808133897745,6.58445762190796,0.0,33.63126575580571
Intact Financial,0.0,0.0,0.0,0.0
Investment Management of Ontario,4.375250433333578,1.0651405119931145,0.0,5.440390945326692
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,16.196083515887455,3.9428839448743735,0.0,20.13896746076183
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,155.63341030527866,37.888448412653474,0.0,193.52185871793213
Scotiabank,36.20593015502084,8.814216139194338,0.0,45.020146294215174
TD,53.553712744054074,13.037477483973985,0.0,66.59119022802805
