year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,ATT PW Equity 2023,4317.05,,8615.63,,,1659.0,35.43,,,,,177.2,,5122.0,,,,,1622.0,12873.1575,13545.094,2450.1285,GRUPA AZOTY SA,99.1955,24.7,10920.554,1014.36,24296.52

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,7139182.229850394,,14247820.29278464,21387002.522635035
BMO,4003013.417826861,,7988900.404913455,11991913.822740316
TD,2175672.0399766793,,4342035.7183225285,6517707.758299207
Scotiabank,916008.8215373195,,1828098.605089488,2744107.4266268075
CIBC,864929.3457057456,,1726158.1910663052,2591087.536772051
National Bank of Canada,831187.6429746441,,1658819.1455835886,2490006.7885582326
Sun Life Financial,0.0,,0.0,0.0
Power Corp of Canada,8119.15228119668,,16203.567706754971,24322.719987951652
Manulife,0.0,,0.0,0.0
Brookfield Asset Management,0.0,,0.0,0.0
Fairfax,0.0,,0.0,0.0
Intact Financial,112115.83741424176,,223752.00016244044,335867.8375766822
OMERS,0.0,,0.0,0.0
CPPIB,266113.6734665141,,531088.8103052553,797202.4837717694
Healthcare of Ontario Pension Plan Trust Fund,40252.177487833804,,80332.14068160097,120584.31816943477
OTPP,0.0,,0.0,0.0
OPSEU,0.0,,0.0,0.0
Investment Management of Ontario,17212.673314889405,,34351.704194290214,51564.37750917962
