year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,CIVI US 2023,1920.13,131.028,,,,,,,,,,,,,,,,,,10168.8007,3479.24,6412.3277,CIVITAS RESOURCES INC,86.24,68.38,4881.27,1124.797,14097.319

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1.4518111991250853,0.09907033263318715,0.0,1.5508815317582725
BMO,0.38802580488673405,0.026478543204209604,0.0,0.41450434809094366
TD,0.17467349220315112,0.011919567079517785,0.0,0.1865930592826689
CIBC,0.06511429361758914,0.004443342723735096,0.0,0.06955763634132422
Scotiabank,0.10510048452140087,0.007171965588720614,0.0,0.11227245011012149
National Bank of Canada,0.2858946023438571,0.01950919883336592,0.0,0.30540380117722304
Power Corp of Canada,0.002965389212719119,0.00020235557892651055,0.0,0.0031677447916456294
Brookfield Asset Management,0.0004521597204085499,3.085498577996879e-05,0.0,0.0004830147061885187
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.00037400496078826415,2.5521773006080148e-05,0.0,0.0003995267337943443
OMERS,0.003286392669856845,0.00022426057545374666,0.0,0.0035106532453105916
HOOPP,0.04851643855631396,0.0033107195404252342,0.0,0.0518271580967392
OTPP,0.009220464974053027,0.000629196504726357,0.0,0.009849661478779383
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.011601939316045872,0.0007917062410893316,0.0,0.012393645557135204
CPP,0.3374581781947919,0.02302785237067656,0.0,0.36048603056546846
