year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,CQP US Equity 2023,10869.3,224.169,,,,,,,,,,,,,,,,,,39528.36,9664.0,24098.36,CHENIERE ENERGY PARTNERS LP,484.0,49.79,16005.0,575.0,18102.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,412093.5790734307,8499.03908506637,0.0,420592.61815849703
BMO,429321.0133677146,8854.338572458872,0.0,438175.3519401735
TD,81145.07190945774,1673.5401198670784,0.0,82818.61202932481
Scotiabank,94963.55350322594,1958.5331921342367,0.0,96922.08669536017
CIBC,25318.622769350277,522.1725729883693,0.0,25840.795342338646
National Bank of Canada,42219.955872515806,870.7465327101098,0.0,43090.702405225915
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,2282112.0642815526,47066.396119155004,0.0,2329178.4604007076
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,43845.04936020542,904.2625440486406,0.0,44749.31190425406
Healthcare of Ontario Pension Plan Trust Fund,73078.23953995209,1507.1693558399825,0.0,74585.40889579208
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,12523.999687115636,258.2956111121255,0.0,12782.295298227762
