year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,CRC US 2023,2603.0,152.0,14749.0,,,,,,,,,,,,,,,,,3870.1816,2801.0,3756.1816,CALIFORNIA RESOURCES CORP,69.6,54.68,610.0,496.0,3998.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,10368.21793813164,605.4433832485629,0.0,10973.661321380203
Brookfield Asset Management,0.0,0.0,0.0,0.0
CIBC,1774.1525633371932,103.6001496839237,0.0,1877.752713021117
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,2310.1838649121755,134.90124758611245,0.0,2445.085112498288
Intact Financial,0.0,0.0,0.0,0.0
Investment Management of Ontario,374.90465982794876,21.89224290966124,0.0,396.79690273761
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,1224.514383702854,71.50448955929075,0.0,1296.0188732621448
OMERS,3.9500486344962655,0.23065977427715423,0.0,4.18070840877342
OPSEU,0.0,0.0,0.0,0.0
OTPP,12.972791304871947,0.7575352586786539,0.0,13.730326563550602
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,12591.105035230457,735.2470093565231,0.0,13326.35204458698
Scotiabank,3225.9478945320434,188.37651938873242,0.0,3414.324413920776
TD,3349.655101872604,195.60029791956813,0.0,3545.2553997921723
