year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,ECOPETL CB Equity 2023,12005.4,532.767,162105.0,7998.47,0.0,73.068,236.356,26.897,3.079,11.956,0.688,919.306,6013.54,146056.0,39.692,0.388,0.0,725.502,,214399222.6,143078746.0,96213065.57,ECOPETROL SA,41116.6947,2340.0,105815527.0,12336115.0,282280588.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,693.9633805953575,30.79620740580463,9370.357802450095,10095.117390451256
BMO,383.77648865096853,17.030956780208122,5182.006883046705,5582.814328477882
TD,148.49873462357445,6.589969959284814,2005.1292554373808,2160.2179600202403
Scotiabank,114.54765676062637,5.083313463057344,1546.6990900275914,1666.3300602512752
CIBC,68.11964606440718,3.022964622153033,919.7970308637159,990.9396415502762
National Bank of Canada,76.04175972001514,3.3745264798135257,1026.7667090635039,1106.1829952633325
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.5749830636022213,0.02551618453747186,7.7638059686658005,8.364305216805494
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,26.47143164300279,1.1747301399493286,357.4349785218262,385.08114030477833
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,7.939832317724163,0.3523481636944166,107.20892742885711,115.50110791027569
OMERS,0.0,0.0,0.0,0.0
CPPIB,62.36781895941412,2.767714178915337,842.1320135174445,907.267546655774
Healthcare of Ontario Pension Plan Trust Fund,33.22511183342602,1.4744400983023371,448.6276864328584,483.3272383645868
OTPP,0.7832397331230779,0.03475804911929489,10.575826837090979,11.393824619333351
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,5.205668062157351,0.2310133903469593,70.29041258827442,75.72709404077874
