year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,ENQ LN Equity 2023,967.073,74.792,9231.51,,,,,0.745,,,,,,9230.77,,,,,,1251.8315,1458.956,368.0535,ENQUEST PLC,1871.9,15.08,1197.35,313.572,3765.782

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,192351.2370837392,14876.161079843014,1836152.3177744544,2043379.7159380366
BMO,40450.882371720414,3128.4116032044253,386137.2692421075,429716.56321703235
TD,51927.94987413514,4016.031082437744,495695.4109796538,551639.3919362267
Scotiabank,39573.28609291855,3060.5396009004126,377759.8838619929,420393.7095558119
CIBC,12328.38844352791,953.4593856599652,117684.70719610057,130966.55502528844
National Bank of Canada,11080.309903315687,856.9348314850967,105770.76092198554,117708.00565678632
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,21264.630791447442,1644.5751935520245,202988.5625187643,225897.76850376374
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,811.907934580163,62.79176261059874,7750.335576213785,8625.035273404546
