year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,EQNR NO 2023,11477.0,120.128,278463.0,,791.0,77.0,4206.0,22.0,94.0,24.0,,,10344.0,249557.0,7433.0,,,5915.0,,85145.3299,107174.0,93782.3299,EQUINOR ASA,3021.0,322.15,31796.0,40443.0,143580.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.015904024677041,0.0001664649887952933,0.38587456858437463,0.40194505825021093
BMO,0.018683254733256528,0.00019555476384043217,0.45330619175627884,0.4721850012533758
TD,0.07138705112294294,0.0007471973231068127,1.7320425561425512,1.8041768045886009
CIBC,0.0005296568772919769,5.543837357787802e-06,0.01285090555209164,0.013386106266741405
Scotiabank,2.092683133478005e-05,2.190379362711909e-07,0.0005077414162217354,0.0005288872854927867
National Bank of Canada,0.11684184208991377,0.0012229656536182942,2.834898481648833,2.952963289392365
Power Corp of Canada,0.0004946564459367308,5.177493207065226e-06,0.012001700610340671,0.012501534549484467
Brookfield Asset Management,0.0028404196215219006,2.973023684710141e-05,0.06891624719594433,0.07178639705431333
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0013431109584749184,1.4058136553077895e-05,0.032587497327681555,0.03394466642270955
HOOPP,0.0030029391069756307,3.143130339311393e-05,0.07285940860379499,0.07589377901416373
OTPP,0.003768298189827762,3.944219961206146e-05,0.09142908589648933,0.09523682628592915
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.00011613779495149865,1.2155965001249133e-06,0.0028178163976282276,0.002935169789079851
CPP,0.013322436916765063,0.00013944390537049347,0.32323828101012025,0.3367001618322558
