year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,HES US 2023,2140.0,464.0,55102.301,,,,,,2.3,,,,1800.0,53300.0,,,,,,52805.9365,10645.0,44279.9365,HESS CORP,305.9,144.16,9598.0,1688.0,24007.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,80.9673640792145,17.555540622782964,2084.8074699542535,2183.330374656251
Brookfield Asset Management,0.0,0.0,0.0,0.0
CIBC,26.100304818639476,5.65913151207884,672.0499187888403,703.8093551195586
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,19.703686792775777,4.272201248527084,507.34507512222837,531.3209631635312
Intact Financial,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.9875041261633245,0.21411304417746851,25.426985332284747,26.62860250262554
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,14.488565041189705,3.1414458780897303,373.06226984539603,390.69228076467544
OMERS,41.0022268211699,8.89020245094525,1055.7556088636218,1105.648038135737
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,227.57985391419882,49.34441692345246,5859.894104830074,6136.818375667725
Scotiabank,141.13760032153615,30.60179745289382,3634.1151374754118,3805.854535249842
TD,71.44222395169876,15.490276595134684,1839.5471293708833,1926.4796299177167
