year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,HP US 2023,1142.0,43.3,,,,,,,,,,,,,,,,,,4441.0023,2872.421,4191.8223,HELMERICH & PAYNE,102.447,42.16,599.954,350.774,4381.956

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.008398360302630194,0.000318431699740707,0.0,0.008716792002370901
BMO,0.04159186662087274,0.001576994592542723,0.0,0.04316886121341546
TD,0.1589188153324152,0.006025555782743938,0.0,0.16494437111515914
CIBC,0.0009249175471965975,3.5069115405965565e-05,0.0,0.0009599866626025631
Scotiabank,4.658642137573437e-05,1.766367815734937e-06,0.0,4.835278919146931e-05
National Bank of Canada,0.26010833665348837,0.009862251293429112,0.0,0.2699705879469175
Power Corp of Canada,0.001101183129828762,4.17523901239802e-05,0.0,0.0011429355199527422
Brookfield Asset Management,0.0003824990386639243,1.4502809434455271e-05,0.0,0.00039700184809837957
Fairfax,0.005475947775744215,0.00020762569062147504,0.0,0.00568357346636569
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0029899764596414305,0.0001133677589338651,0.0,0.0031033442185752955
HOOPP,0.0066850152498115194,0.00025346861673978876,0.0,0.006938483866551309
OTPP,0.008388825070184869,0.00031807016246848056,0.0,0.008706895232653349
OPSEU,0.0,0.0,0.0,0.0
IMCO,6.511201584093868e-05,2.4687830874891807e-06,0.0,6.758079892842786e-05
CPP,0.032090143706711996,0.001216727865587241,0.0,0.03330687157229924
