year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,HRUM IJ Equity 2023,58.687,4.655,,,,,,,,,,,,,,,,,,1494.9609,925.5203,1154.9629,HARUM ENERGY TBK PT,13316.2465,1335.0,208.2438,157.1602,1633.1072

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,7270.409581121609,576.6823419176495,0.0,7847.091923039259
BMO,5582.253016958381,442.77928321333957,0.0,6025.032300171721
TD,2386.884581314257,189.32553591115354,0.0,2576.2101172254106
Scotiabank,12591.789233229914,998.7693847135696,0.0,13590.558617943483
CIBC,526.0658251446865,41.72706759671674,0.0,567.7928927414033
National Bank of Canada,2175.3505303070774,172.5468454441264,0.0,2347.897375751204
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,72.50999058064981,5.751427167054457,0.0,78.26141774770427
Intact Financial,26.371888655471096,2.0917944637009556,0.0,28.463683119172053
OMERS,0.0,0.0,0.0,0.0
CPPIB,13109.82662213652,1039.8596439764428,0.0,14149.686266112962
Healthcare of Ontario Pension Plan Trust Fund,151.98134676014269,12.055023585606085,0.0,164.03637034574876
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,31.50399030133348,2.4988681454616417,0.0,34.00285844679512
