year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,MUR US 2023,1083.36,28.17,24300.0,,,,,,,,,,,24300.0,,,,,,8474.8021,3460.147,6516.2571,MURPHY OIL CORP,155.234,42.66,2088.76,317.074,9766.697

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.14256445111719118,0.0037070231390962153,3.197751589635713,3.3440230638920005
BMO,0.05037707873128578,0.001309926809057304,1.1299688129248306,1.1816558184651738
TD,0.09698100136656669,0.002521742364953648,2.1753049154552233,2.2748076591867434
CIBC,0.0015488311165622974,4.0273383320004365e-05,0.03474061819936478,0.036329722699247086
Scotiabank,0.00038122260093144573,9.912716611503865e-06,0.008550905703214196,0.008942041020757146
National Bank of Canada,0.15873241251945075,0.004127429534663388,3.560402473990782,3.723262316044896
Power Corp of Canada,0.0006720025089249471,1.7473702810160763e-05,0.015073162168509282,0.01576263838024439
Brookfield Asset Management,0.00023342195015601822,6.0695395213918135e-06,0.0052357050184530015,0.005475196508130412
Fairfax,0.055499227493648155,0.0014431151588539992,1.2448597216951431,1.3018020643476453
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0018246480790329773,4.744529647241819e-05,0.04092725254809237,0.04279934592359776
HOOPP,0.022933374092928283,0.0005963236119090513,0.5144005597937503,0.5379302574985877
OTPP,0.0051193224282080575,0.00013311485822129393,0.11482751348162736,0.1200799507680567
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.000363932086105074,9.463121091400767e-06,0.008163075701847307,0.008536470909043782
CPP,0.023033625827931187,0.0005989304013188798,0.5166492279747525,0.5402817842040026
