year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,NFE US Equity 2023,947.243,23.363,4535.24,,,,,,,,,,,,,,,,,15091.201,2413.296,7734.65,NEW FORTRESS ENERGY INC,205.9428,37.73,7374.19,155.414,10501.245

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,48139.389784540996,1187.320005042245,0.0,49326.70978958324
BMO,23790.285364431486,586.7685873310363,0.0,24377.053951762522
TD,5391.875205859347,132.98634081697298,0.0,5524.86154667632
Scotiabank,5647.0974088032435,139.28119475347947,0.0,5786.378603556723
CIBC,5242.587362582663,129.30427414297995,0.0,5371.891636725643
National Bank of Canada,6220.490093152243,153.42347216745426,0.0,6373.913565319697
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,141.81732773945816,3.497812312127892,0.0,145.31514005158607
OMERS,0.0,0.0,0.0,0.0
CPPIB,8917.836071961887,219.95137905399724,0.0,9137.787451015884
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,223.3806613098201,5.509507476097819,0.0,228.89016878591792
