year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,NI US 2023,5492.28,59.78,13422.3,,,4545.2998,,,,,,,,8877.0,,,,,,26111.6834,5566.0,11877.9834,NISOURCE INC,416.1,26.55,14162.0,2245.4,31077.2

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.0571409693635369,0.000621943372980299,0.13964386769429227,0.19740678043080948
BMO,0.07059194162200967,0.0007683487131325676,0.17251600499514086,0.2438762953302831
TD,0.26972551717491033,0.0029357919510141764,0.6591682789718835,0.9318295880978079
CIBC,0.0015698195537131327,1.708649466541602e-05,0.0038364010359704663,0.005423307084349015
Scotiabank,7.906896721206059e-05,8.606157843258141e-07,0.00019323257058938138,0.00027316215358576777
National Bank of Canada,0.44146978744220167,0.004805119894341661,1.0788852425024773,1.5251601498390206
Power Corp of Canada,0.001868986932579818,2.034274269149088e-05,0.004567520762118593,0.006456850437389902
Brookfield Asset Management,0.03311741268808306,0.00036046212692972783,0.08093393667106825,0.11441181148608104
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.005074748041826696,5.5235428263016435e-05,0.012401914983733688,0.0175318984538234
HOOPP,0.011346165599120134,0.00012349584863033232,0.027728308872059883,0.03919797031981035
OTPP,0.014237962797624383,0.00015497123526877465,0.03479542288648088,0.04918835691937404
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.00011744747176528298,1.2783415743786946e-06,0.00028702381830235596,0.0004057496316420176
CPP,0.031875428793746254,0.00034694391642271533,0.07789871629327248,0.11012108900344145
