year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,NTPC IN Equity 2023,336480.0,0.0,4364.55,,,,4342.93,,4.202,17.42,,,,,,,,,,3916337.04,1762069.3,1697886.24,NTPC LTD,9696.6661,175.1,2229131.6,49985.3,4479132.5

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,876849.927754877,0.0,11373.802620905863,888223.7303757829
BMO,519931.11199252075,0.0,6744.134494499467,526675.2464870202
TD,173933.36938757452,0.0,2256.1258773991835,176189.4952649737
Scotiabank,134596.8561003239,0.0,1745.8837894863912,136342.7398898103
CIBC,105931.91261153044,0.0,1374.064850964338,107305.97746249477
National Bank of Canada,100855.44077440666,0.0,1308.216879882365,102163.65765428903
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,913.1941843170836,0.0,11.845231525051998,925.0394158421356
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,12610.125681918476,0.0,163.56856058389403,12773.69424250237
OMERS,0.0,0.0,0.0,0.0
CPPIB,36193.64293805691,0.0,469.47526353002314,36663.118201586934
Healthcare of Ontario Pension Plan Trust Fund,34066.62184858745,0.0,441.88523098697124,34508.50707957442
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,6945.269831505319,0.0,90.08853820029782,7035.358369705617
