year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,OIS US 2023,24.359,16.934,,,,,,,,,,,,,,,,,,544.2343,782.283,429.9903,OIL STATES INTERNATIONAL INC,62.69,6.79,161.355,47.111,1046.486

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.007362079012014923,0.005118003447984757,0.0,0.01248008245999968
BMO,0.00864860312662867,0.006012375111717636,0.0,0.014660978238346306
TD,0.03304554170873157,0.022972749427138242,0.0,0.05601829113586981
CIBC,0.00019232714086806147,0.00013370285329692322,0.0,0.0003260299941649847
Scotiabank,9.687169687316203e-06,6.734370519521022e-06,0.0,1.6421540206837224e-05
National Bank of Canada,0.05408686737119419,0.03760035354751026,0.0,0.09168722091870446
Power Corp of Canada,0.00022897976535749762,0.00015918319087663142,0.0,0.00038816295623412904
Brookfield Asset Management,0.0013148491721790005,0.0009140628056028241,0.0,0.0022289119777818248
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0006217350135572826,0.000432220564045282,0.0,0.0010539555776025646
HOOPP,0.0013900805250723098,0.0009663624784093967,0.0,0.0023564430034817064
OTPP,0.0017443703450984826,0.0012126592809186627,0.0,0.002957029626017145
OPSEU,0.0,0.0,0.0,0.0
IMCO,5.37609592588484e-05,3.737378726915468e-05,0.0,9.113474652800308e-05
CPP,0.006167044833336939,0.004287234172491799,0.0,0.010454279005828737
