year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,PBF US 2023,10780.0,,,,,,,,,,,,,,,,,,,5698.2702,38324.8,5294.5702,PBF ENERGY INC-CLASS A,124.9539,43.96,2044.2,1783.5,14387.8

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.39555936759512605,,0.0,0.39555936759512605
BMO,0.31318085838204585,,0.0,0.31318085838204585
TD,1.1876818745362938,,0.0,1.1876818745362938
CIBC,0.043062418928735705,,0.0,0.043062418928735705
Scotiabank,0.012875968666918423,,0.0,0.012875968666918423
National Bank of Canada,1.9439231044665344,,0.0,1.9439231044665344
Power Corp of Canada,0.008229706728602824,,0.0,0.008229706728602824
Brookfield Asset Management,0.002858611639524583,,0.0,0.002858611639524583
Fairfax,0.0,,0.0,0.0
Intact Financial,0.002357743788154891,,0.0,0.002357743788154891
OMERS,0.022345628734887678,,0.0,0.022345628734887678
HOOPP,0.04996055015003861,,0.0,0.04996055015003861
OTPP,0.06269399544461607,,0.0,0.06269399544461607
OPSEU,0.0,,0.0,0.0
IMCO,0.0022763018611029087,,0.0,0.0022763018611029087
CPP,0.14289800520540838,,0.0,0.14289800520540838
