year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,SAIL IN Equity 2023,47603.898,3020.82,5620.4,,,,,,,,,,,,,,,,,643822.4414,,341594.4414,STEEL AUTHORITY OF INDIA,4130.5253,82.7,307734.3,5506.4,1304810.9

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,25790.974135154644,1636.6283804523289,0.0,27427.602515606974
BMO,9450.837482702667,599.7256544936273,0.0,10050.563137196295
TD,33936.445784799595,2153.51890207895,0.0,36089.96468687854
Scotiabank,3142.1034950307007,199.38974492926275,0.0,3341.4932399599634
CIBC,3899.0958303749494,247.42651675947326,0.0,4146.5223471344225
National Bank of Canada,1923.6970171377031,122.07282738295753,0.0,2045.7698445206606
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,3774.6491890895268,239.52945541109733,0.0,4014.178644500624
Healthcare of Ontario Pension Plan Trust Fund,838.3773728702133,53.201255399585094,0.0,891.5786282697984
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,174.33678415236648,11.062960522752816,0.0,185.39974467511928
