year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,WFRD US 2023,116.153,63.05,955.451,595.578,13.844,46.348,55.552,26.984,20.942,38.902,,16.827,,,,,,140.474,,7873.76,5135.0,7043.76,WEATHERFORD INTERNATIONAL PL,72.0,97.83,2060.0,958.0,5068.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.006095305021181869,0.003308644473974127,0.05013874181289539,0.059542691308051385
BMO,0.0044760664778470596,0.0024296917981305437,0.03681921424608448,0.04372497252206209
TD,0.009619177971850263,0.0052214679872681635,0.07912540539101276,0.09396605135013118
CIBC,0.00034876769651436164,0.00018931756618624144,0.002868892274864561,0.003406977537565164
Scotiabank,0.00010428401478755664,5.6607294967460554e-05,0.0008578191369382262,0.0010187104466932433
National Bank of Canada,0.01574406640899179,0.008546170887423762,0.12950749437842857,0.15379773167484412
Power Corp of Canada,6.665338200052246e-05,3.618069042670392e-05,0.0005482771903074495,0.0006511112627346758
Brookfield Asset Management,7.282071620838871e-05,3.9528433677467715e-05,0.0005990084295887424,0.0007113575794745989
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1.909564976660193e-05,1.036547241814031e-05,0.00015707693873726533,0.00018653806092200757
OMERS,0.0001809799276238827,9.823925715810874e-05,0.001488704147358797,0.0017679233321407884
HOOPP,0.00040463648875032655,0.00021964418151668996,0.003328457618942156,0.003952738289209173
OTPP,0.0005077661896487104,0.0002756248935227776,0.0041767816041432424,0.00496017268731473
OPSEU,0.0,0.0,0.0,0.0
IMCO,1.843604182993174e-05,1.000742501164151e-05,0.0001516511377446137,0.00018009460458618694
CPP,0.008889404240916783,0.0048253332879030515,0.07312243481776778,0.08683717234658762
