year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,XOM US 2023,94000.0,8000.0,730000.0,,,,,,,,,,,730000.0,,,,,,420805.58,344582.0,397020.58,EXXON MOBIL CORP,4052.0,99.98,47588.0,31539.0,376317.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.433354945982901,0.03688127199854476,3.3654160698672095,3.835652287848655
BMO,0.15124265850399998,0.0128717156173617,1.1745440500842552,1.338658424205617
TD,0.13811056847481307,0.011754090934026644,1.0725607977299312,1.222425457138771
CIBC,0.021630954244235903,0.0018409322761051832,0.16798507019459796,0.19145695671493904
Scotiabank,0.0037209758748526335,0.0003166787978597986,0.028896940304706624,0.03293459497741905
National Bank of Canada,0.2260507049785681,0.019238357870516434,1.7555001556846248,2.0007892185337095
Power Corp of Canada,0.0009569982493098973,8.144665951573593e-05,0.007432007680810904,0.008470452589636537
Brookfield Asset Management,0.005495281881861137,0.0004676835644137138,0.042676125252751385,0.048639090699026236
Fairfax,0.00020598428424037867,1.7530577382159885e-05,0.0015996651861220896,0.0018231800477446281
Intact Financial,0.0016189891214203557,0.0001377863082059877,0.012573000623796378,0.014329776053422722
OMERS,0.002598479907515122,0.00022114722617149973,0.02017968438814935,0.02299931152183597
HOOPP,0.016570133467640392,0.0014102241249055653,0.12868295139763283,0.1466633089901788
OTPP,0.007290423080838782,0.0006204615387947899,0.05661711541502458,0.06452800003465815
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0030705864164522656,0.0002613265035278524,0.023846043446916532,0.02717795636689665
CPP,0.025774553047098966,0.002193578982731827,0.20016408217427922,0.22813221420411
