year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,600180 CH Equity 2024,0.457,38.337,,,,,,,,,,,,,,,,,,13737.2124,31498.4686,4635.6067,CCS SUPPLY CHAIN MANAGEME-A,1078.0481,4.3,9945.6254,892.8743,31224.2024

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,162.48674806687117,13630.753743193962,0.0,13793.240491260833
BMO,62.491869726566755,5242.343128462559,0.0,5304.834998189126
TD,7.482087511867649,627.6603696771773,0.0,635.142457189045
Scotiabank,45.30234176251407,3800.341085666306,0.0,3845.64342742882
CIBC,9.828699660823254,824.5139144354072,0.0,834.3426140962305
National Bank of Canada,6.9682639383535285,584.5565308635869,0.0,591.5247948019404
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.49607832346950403,41.61521813315181,0.0,42.11129645662131
OMERS,0.0,0.0,0.0,0.0
CPPIB,17.271944792037683,1448.915858845402,0.0,1466.1878036374396
Healthcare of Ontario Pension Plan Trust Fund,4.679126682597987,392.5244630870001,0.0,397.20358976959807
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
