year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,ADRO IJ Equity 2024,1246.44,10.009,,,,,,,,,,,,,,,,,,3529.7484,2078.689,4539.5384,ALAMTRI RESOURCES INDONESIA,30731.355,2430.0,579.845,2033.611,6702.127

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,185049.53817330854,1485.9606780724666,0.0,186535.498851381
BMO,74387.90940506198,597.3400927724282,0.0,74985.2494978344
TD,64401.3721747568,517.1475033673028,0.0,64918.5196781241
Scotiabank,13320.142259398006,106.9616699354278,0.0,13427.103929333434
CIBC,11655.124476973255,93.59146119349933,0.0,11748.715938166753
National Bank of Canada,25560.384298103967,205.2516658962506,0.0,25765.63596400022
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,900.328711835547,7.229702253427353,0.0,907.5584140889744
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1441.5144059581035,11.57546106449942,0.0,1453.089867022603
OMERS,0.0,0.0,0.0,0.0
CPPIB,213905.36169051903,1717.674950387026,0.0,215623.03664090607
Healthcare of Ontario Pension Plan Trust Fund,6599.115663389917,52.99135832841507,0.0,6652.107021718332
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,3273.198711128867,26.284013590456684,0.0,3299.482724719324
