year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,DANA UH Equity 2024,270.014,3.254,,,,,,,,,,,,,,,,,,1200.7004,445.0,1342.7004,DANA GAS,6995.0,0.705,255.0,397.0,2948.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,79103.8023374388,953.2978764287252,0.0,80057.10021386752
BMO,27661.193602087256,333.35132245436137,0.0,27994.544924541617
TD,40038.95986625162,482.51859312769994,0.0,40521.47845937932
Scotiabank,59685.202415967105,719.2799212691081,0.0,60404.482337236215
CIBC,8007.510436430943,96.50032576142824,0.0,8104.010762192371
National Bank of Canada,16368.550678915415,197.26111945747542,0.0,16565.81179837289
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,124620.46322023886,1501.8294877993633,0.0,126122.29270803822
Healthcare of Ontario Pension Plan Trust Fund,234.47995100023803,2.8257711102193754,0.0,237.3057221104574
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1893.7373058055246,22.821858100288047,0.0,1916.5591639058125
