year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,ENQ LN Equity 2024,996.749,71.603,5553.73,,,,,,,,,,,,,,,,,1016.2734,1180.709,296.3994,ENQUEST PLC,1891.9,12.56,1000.113,280.239,3562.608

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,270646.14931406744,19442.283091666177,0.0,290088.4324057336
BMO,72493.12310686188,5207.655180813455,0.0,77700.77828767533
TD,111068.4636068764,7978.774194549651,0.0,119047.23780142605
Scotiabank,15267.373888071299,1096.7553240661082,0.0,16364.129212137406
CIBC,18768.108737736988,1348.2360052010902,0.0,20116.34474293808
National Bank of Canada,27649.4158827582,1986.2383864474757,0.0,29635.654269205676
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,225.31146486801256,16.18559619216503,0.0,241.4970610601776
OMERS,0.0,0.0,0.0,0.0
CPPIB,69399.29403703246,4985.405203249399,0.0,74384.69924028186
Healthcare of Ontario Pension Plan Trust Fund,709.5629714500096,50.97254920219137,0.0,760.535520652201
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
