year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,FLUX BB Equity 2024,130.782,11.711,66.944,39.11,7.249,18.467,0.967,0.022,0.188,0.941,,,,,,,,,,1013.0815,608.789,1053.9525,FLUXYS BELGIUM,70.2635,15.0,1081.621,1123.215,3310.096

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,36394.89576807304,3259.0159528062222,18629.627183388246,58283.53890426751
BMO,11893.508612579788,1065.015670061032,6087.986424435636,19046.510707076457
TD,6896.393541454667,617.5441938797052,3530.0895324979065,11044.027267832278
Scotiabank,2763.297547090595,247.44213709820886,1414.4621659894538,4425.201850178258
CIBC,6732.3502814405765,602.8547823549923,3446.1199342475106,10781.32499804308
National Bank of Canada,16083.56062536025,1440.217908302319,8232.768137083976,25756.546670746546
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,21916.15472044518,1962.5031574003572,11218.325622834045,35096.983500679584
Intact Financial,547.3485778533662,49.012854943652584,280.17390157526074,876.5353343722795
OMERS,0.0,0.0,0.0,0.0
CPPIB,8843.07331687149,791.8615070413515,4526.545702960997,14161.480526873838
Healthcare of Ontario Pension Plan Trust Fund,827.5374440498979,74.10263650401703,423.59549979719196,1325.2355803511068
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,10.795585190034654,0.9667010610060699,5.52598717684146,17.288273427882185
