year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,HCI SJ Equity 2024,146.285,243.14,160.045,,,,,,,,,,,,,,,,,36170.083,,13909.64,HOSKEN CONS INVESTMENTS LTD,80.87,17200.0,14890.799,1816.542,51220.668

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,20740.300349254187,34472.41088913876,0.0,55212.71123839295
BMO,9011.336636677872,14977.724235853695,0.0,23989.06087253157
TD,1552.1019347014012,2579.7454585452965,0.0,4131.847393246698
Scotiabank,5359.144019183817,8907.422338752116,0.0,14266.566357935933
CIBC,1105.7370931239054,1837.8433661834526,0.0,2943.580459307358
National Bank of Canada,1882.4979449504085,3128.8959929947864,0.0,5011.393937945195
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,67.07619535803946,111.48720743311833,0.0,178.56340279115778
OMERS,0.0,0.0,0.0,0.0
CPPIB,3197.025208416609,5313.769075260036,0.0,8510.794283676645
Healthcare of Ontario Pension Plan Trust Fund,603.7067918364529,1003.4198268251369,0.0,1607.1266186615899
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,26.334084850506553,43.769828694344355,0.0,70.10391354485091
