year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,NOG US Equity 2024,0.017,0.208,21573.301,1.342,0.149,0.184,0.02,0.006,0.177,0.081,,,,17101.5996,0.341,,,531.291,3938.1399,6104.6453,2152.079,3744.2843,NORTHERN OIL AND GAS INC,99.8525,37.16,2369.294,8.933,5603.822

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1.0435954342462723,12.768697077836743,1324342.8947815208,1324356.7070740329
BMO,0.3365553732124455,4.117853978128744,427095.311638996,427099.76604834734
TD,0.13175815736000604,1.6120998076988973,167203.6632234363,167205.40708140135
Scotiabank,0.030369755843593395,0.37158289502749564,38539.81058930274,38540.21254195361
CIBC,0.10007626824704524,1.2244625761991417,126998.73000589192,127000.05454473637
National Bank of Canada,0.21902637040675574,2.679852061447364,277948.7221764918,277951.6210549237
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.014887491315763604,0.18215283492228407,18892.515910049886,18892.712950376124
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.01935056053302363,0.23675979946287734,24556.237514069115,24556.49362442911
OMERS,0.0,0.0,0.0,0.0
CPPIB,0.6893058307564948,8.433859576314758,874742.5001462897,874751.6233116968
Healthcare of Ontario Pension Plan Trust Fund,0.10912045327327309,1.3351208400494587,138475.97663377217,138477.4208750655
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
