year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,UTCEM IN Equity 2024,71237.898,1884.39,8273.89,1030.79,276.2,4877.65,2013.61,0.82,14.089,23.31,0.0,37.42,0.0,0.0,0.0,0.0,0.0,0.0,,2861696.444,709081.4,2809787.644,ULTRATECH CEMENT LTD,288.2121,9749.15,114029.5,62680.1,1008020.1

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,127937.74767185858,3384.2185003180975,14859.263859062296,146181.23003123899
BMO,52032.69577991639,1376.372609993583,6043.3106722744205,59452.37906218439
TD,19004.386321924474,502.70539342936905,2207.2546685855523,21714.346383939395
Scotiabank,19539.547601530416,516.8615180763462,2269.41069997993,22325.819819586693
CIBC,21638.96795964343,572.3955363403969,2513.2467969878367,24724.61029297166
National Bank of Canada,16897.385272954813,446.970850185716,1962.5381161395694,19306.894239280096
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1065.5561047602073,28.186166698083753,123.75846538956449,1217.5007368478555
OMERS,0.0,0.0,0.0,0.0
CPPIB,9271.362392051291,245.24674461839865,1076.817613436697,10593.426750106386
Healthcare of Ontario Pension Plan Trust Fund,2367.989783679894,62.63823601966127,275.02895471875735,2705.6569744183125
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,294.2017949851871,7.7822470344666375,34.16991606501633,336.1539580846701
