year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,883 HK Equity 2018,7345.0,135.0,,,,,,,,,,,,,,,,,,462893.9952,186557.0,474451.9952,CNOOC LTD-H,44647.456,12.1,142470.0,154038.0,686381.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1618.9584463149076,29.756213785229754,0.0,1648.7146601001373
BMO,933.2267425988053,17.152567767302752,0.0,950.3793103661081
TD,1389.5297557387107,25.539348812079776,0.0,1415.0691045507906
Scotiabank,576.342828708585,10.593094877557382,0.0,586.9359235861424
CIBC,619.7670849208814,11.391226203447106,0.0,631.1583111243285
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,19.335791803621444,0.3553889575886855,0.0,19.69118076121013
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,614.3022854759828,11.290784008067757,0.0,625.5930694840505
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
