year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,9532 JP Equity 2018,4888.26,270.278,31479.699,552.5,250.2,5370.8,17.2,57.8,2.364,8.5,,0.1,8.6,24725.9,0.1,387.8,97.7,,,1234563.075,1296238.0,873077.075,OSAKA GAS CO LTD,415.88,2099.5,503786.0,171529.0,1897230.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,477.3219246193127,26.39172530558084,3073.872108819259,3577.585758744153
BMO,64.38720201191859,3.560048807832917,414.64264309081767,482.5898939105692
TD,128.33769082758246,7.09595119766488,826.4729273850194,961.9065694102667
Scotiabank,7.356937690753133,0.4067742724776046,47.3774289583769,55.141140921607644
CIBC,30.28438049412763,1.6744612175276739,195.02626578071587,226.98510749237118
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.10637885549795245,0.00588181976946308,0.6850617581500466,0.7973224334174621
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,18.33075646843665,1.013530417116954,118.04695769385539,137.391244579409
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,106.43484436926717,5.8849154640785875,685.4223169701256,797.7420768034714
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
