year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,APA US Equity 2018,7580.0,800.0,,,,,,,,,,,,,,,,,,19047.7758,7424.0,9835.7758,APA CORP,382.0,26.25,8244.0,714.0,21582.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,51220.11219491197,5405.816590492028,0.0,56625.928785404
BMO,24845.95063665441,2622.263919435821,0.0,27468.214556090228
TD,36771.8528110411,3880.9343336191137,0.0,40652.787144660215
Scotiabank,19606.26024029543,2069.262294490283,0.0,21675.522534785712
CIBC,10836.194537903151,1143.661692654686,0.0,11979.856230557838
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,45.46870618990726,4.798808041151163,0.0,50.26751423105842
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,618.8367978050089,65.31259079736242,0.0,684.1493886023713
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,34167.0354055854,3606.019567871809,0.0,37773.054973457205
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
