year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,AR US Equity 2018,427.049,4.025,,,,,,,,,,,,,,,,,,6430.6238,4139.626,2897.6938,ANTERO RESOURCES CORP,316.036,9.39,3532.93,0.0,14146.007

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,6731.669568744634,63.44698152717172,0.0,6795.116550271805
BMO,4879.896726148222,45.99374854582634,0.0,4925.890474694049
TD,6582.967714532156,62.045444553182264,0.0,6645.013159085338
Scotiabank,3930.0617901725846,37.04141376152304,0.0,3967.1032039341076
CIBC,1866.9525165150299,17.596303653615852,0.0,1884.5488201686458
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,8.695153021344076,0.08195310353357557,0.0,8.777106124877651
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,3394.4993142477647,31.993658198116037,0.0,3426.4929724458807
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
