year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,CMS US Equity 2018,12743.0,6419.0,15944.1,15867.0996,,,,,77.012,,,,,,,,,,,25710.81,6873.0,14070.81,CMS ENERGY CORP,282.2,49.65,11777.0,153.0,24529.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,3017243.7147541614,1519868.744016869,3775191.9102596655,8312304.369030695
BMO,1938419.3193568815,976435.1888057617,2425360.900527518,5340215.408690161
TD,1371152.998157178,690687.5221824473,1715594.1633283086,3777434.683667934
Scotiabank,499491.4105158125,251607.57781534965,624966.3966495745,1376065.3849807368
CIBC,572017.2756934392,288140.85322735505,715711.1575597709,1575869.286480565
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,517.1168539693166,260.4859990291959,647.0194483188956,1424.622301317408
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,80184.80954543484,40391.29659202278,100327.67417540283,220903.78031286044
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,75979.9521847001,38273.19415158047,95066.5335474788,209319.67988375938
OMERS,0.0,0.0,0.0,0.0
CPPIB,276556.99153069366,139309.37209727088,346029.62698937726,761895.9906173418
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,938.236533646606,472.61557792337464,1173.9267048307809,2584.7788164007616
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
