year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,ENOG LN Equity 2018,45.404,48.354,,,,,,,,,,,,,,,,,,1410.9881,90.329,1226.4951,ENERGEAN PLC,131.5988,628.3,144.27,219.822,1778.053

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,5707.599904801903,6078.435507814095,0.0,11786.035412615998
BMO,1131.0139013192959,1204.4984182977983,0.0,2335.5123196170944
TD,3286.4260966065012,3499.95259173885,0.0,6786.378688345351
Scotiabank,247.0668623135959,263.1193520463311,0.0,510.18621435992696
CIBC,226.55816562169716,241.27815920340814,0.0,467.8363248251053
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,67.00494767569802,71.35840982976615,0.0,138.36335750546417
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,118.57284387030981,126.27678822361376,0.0,244.84963209392356
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
