year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,ADRO IJ Equity 2019,2144.71,,,,,,,,,,,,,,,,,,,4202.0709,3457.154,3574.6839,ALAMTRI RESOURCES INDONESIA,31985.962,1555.0,1956.546,1582.482,7217.105

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,398965.1344640571,0.0,0.0,398965.1344640571
BMO,117931.08260845106,0.0,0.0,117931.08260845106
TD,183058.6356236981,0.0,0.0,183058.6356236981
Scotiabank,62434.87899167812,0.0,0.0,62434.87899167812
CIBC,16168.04358002116,0.0,0.0,16168.04358002116
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,512.3760285489858,0.0,0.0,512.3760285489858
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,1724.9192998575343,0.0,0.0,1724.9192998575343
Intact Financial,5366.748917295876,0.0,0.0,5366.748917295876
OMERS,0.0,0.0,0.0,0.0
CPPIB,66713.27882725518,0.0,0.0,66713.27882725518
Healthcare of Ontario Pension Plan Trust Fund,2182.6978827414646,0.0,0.0,2182.6978827414646
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
