year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,CSX US Equity 2019,4309.32,195.606,2450.22,45.154,1285.85,936.586,14.573,62.591,19.8,85.666,,,,,,,,,,70817.3616,11937.0,55968.3616,CSX CORP,2389.0,24.12,16788.0,1954.0,38257.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,77438.5991309776,3515.045209363427,44030.520908798586,124984.16524913961
BMO,76777.43754285635,3485.0341696620253,43654.593535930835,123917.06524844922
TD,22926.53070051634,1040.666964673127,13035.709590612707,37002.90725580217
Scotiabank,7374.488713995159,334.7382509049541,4193.032714396984,11902.259679297098
CIBC,20133.82172616609,913.9020385045538,11447.813731606535,32495.53749627718
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,10.856385690589878,0.4927863745077004,6.172791379335285,17.521963444432863
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,916.5561366012901,41.603751788224585,521.1411956000512,1479.3010839895658
OMERS,0.0,0.0,0.0,0.0
CPPIB,19436.78016831566,882.2623573100985,11051.485502123398,31370.52802774916
Healthcare of Ontario Pension Plan Trust Fund,3597.6984239610115,163.30451159749512,2045.6017729845425,5806.604708543049
OTPP,65.52329235951763,2.974192941177681,37.25564158733565,105.75312688803096
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
