year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,ENLC US Equity 2019,4885.56,455.899,,,,,,,,,,,,,,,,,,9466.8626,6052.9,2990.1626,ENLINK MIDSTREAM LLC,463.9,6.13,4867.3,77.4,9335.8

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1478657.6871906566,137981.84055308564,0.0,1616639.527743742
BMO,1499368.7209518307,139914.5032531007,0.0,1639283.2242049314
TD,433897.46439875884,40489.405538347644,0.0,474386.8699371065
Scotiabank,137670.535241127,12846.809648411761,0.0,150517.34488953877
CIBC,425543.44770414825,39709.845394360826,0.0,465253.2930985091
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,187.8959358263661,17.53362342235168,0.0,205.4295592487178
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,19449.68017458315,1814.9587236493426,0.0,21264.638898232493
OMERS,0.0,0.0,0.0,0.0
CPPIB,346426.1876996255,32326.970203225734,0.0,378753.15790285124
Healthcare of Ontario Pension Plan Trust Fund,86698.452545691,8090.318779654325,0.0,94788.77132534533
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
