year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,ORI AU Equity 2019,2092.0,242.0,4614.6,4614.0,,,,,,,,,,,,,,,,10255.997,5878.0,8578.197,ORICA LTD,379.9679,22.54,2033.2,412.6,7294.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,38041.43178339224,4400.58627704633,83902.08711690812,126344.10517734669
BMO,24461.79074693668,2829.710019483115,53951.578635930135,81243.07940234993
TD,60043.50844355755,6945.759580946906,132428.6558119381,199417.92383644255
Scotiabank,21383.124215962867,2473.5736425731425,47161.4412679028,71018.13912643881
CIBC,4476.552823396339,517.8421526108575,9873.238397299572,14867.633373306768
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,7.8039709276902824,0.9027538071228721,17.212008537458395,25.91873327227155
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,206.31748140081183,23.866553775810928,455.0424757090563,685.2265108856791
Intact Financial,1389.1068251288702,160.6901776678712,3063.7375196675944,4613.534522464336
OMERS,1009.8826128614206,116.82198485299416,2227.3414798004756,3354.0460775148904
CPPIB,12347.34525215497,1428.3257892072193,27232.624757859954,41008.29579922214
Healthcare of Ontario Pension Plan Trust Fund,887.2139448417889,102.63182344728152,1956.7902206023014,2946.6359888913717
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
