year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,UTCEM IN Equity 2019,51270.699,1216.4,5880.0,,,,,,,,,,,,,,,,,1328239.765,409038.1,1097309.965,ULTRATECH CEMENT LTD,286.0651,3998.35,253370.0,22561.7,765374.3

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,200558.14487112395,4758.252416672439,0.0,205316.3972877964
BMO,94861.70622686634,2250.598913316166,0.0,97112.3051401825
TD,54163.70987724786,1285.036833507659,0.0,55448.74671075551
Scotiabank,30980.154171072343,735.0057687665308,0.0,31715.159939838875
CIBC,28641.665233490337,679.5249971141927,0.0,29321.19023060453
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,64.99306903587629,1.5419639427041931,0.0,66.53503297858049
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,4738.933884899149,112.4314528575342,0.0,4851.365337756683
OMERS,0.0,0.0,0.0,0.0
CPPIB,20690.73743212657,490.8888215555392,0.0,21181.62625368211
Healthcare of Ontario Pension Plan Trust Fund,2339.423417366851,55.50294223382907,0.0,2394.92635960068
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
