year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,9508 JP Equity 2020,19040.0,0.08,17990.0,330.0,1260.0,14450.0,1.0,30.0,2.0,7.0,,,,1110.0,,,,800.0,,3777312.31,2013050.0,411028.31,KYUSHU ELECTRIC POWER CO INC,472.986,869.0,3443008.0,196848.0,4948063.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,4880.713739644843,0.02050720058674304,4611.5567319438405,9492.290978789271
BMO,1312.974670771461,0.00551670029735908,1240.5679793686231,2553.5481668403813
TD,511.03360739312575,0.002147200031063554,482.85160698541665,993.8873615785735
Scotiabank,111.91598943634807,0.00047023524973255495,105.74415178360829,217.6606114552061
CIBC,219.84821434805792,0.000923731993059067,207.72423193915768,427.57337001920865
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.3705827464779738,1.557070363352831e-06,0.35014619795896784,0.720730501507305
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,55.54108912838632,0.00023336592070750552,52.4781614191003,108.01948391340733
Intact Financial,36.36343199815117,0.00015278752940399654,34.35809567472372,70.7216804604043
OMERS,0.0,0.0,0.0,0.0
CPPIB,88.2450165050675,0.0003707773802733929,83.37856338897922,171.623950671427
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
