year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,9532 JP Equity 2020,4659.55,303.154,27944.0,568.5,397.5,4712.0,14.6,17.0,2.671,9.6,0.0,0.1,7.6,22130.7,0.0,23.6,68.0,0.0,,1502143.26,1368689.0,846538.26,OSAKA GAS CO LTD,415.798,2036.0,754004.0,128573.0,2140482.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,579.9432699592337,37.731566795338935,3478.9839081496443,4096.658744904217
BMO,156.0121868561499,10.150275991069796,935.8913460379216,1102.0538088851413
TD,60.722778909012334,3.9506719141081703,364.26592328148286,428.93937410460336
Scotiabank,13.298244547151361,0.8651942843079533,79.77397304641612,93.93741187787543
CIBC,26.123124429130943,1.6995910899526265,156.7083096350542,184.53102515413778
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.0440339223415608,0.0028648817361190504,0.26415222863051696,0.3110510327081968
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,6.599584110941425,0.42937415020084263,39.58981526599873,46.618773527140995
Intact Financial,4.3208286297656535,0.28111652035668183,25.919937434369476,30.521882584491813
OMERS,0.0,0.0,0.0,0.0
CPPIB,10.485577757584165,0.6821999634133489,62.90124944264185,74.06902716363936
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
