year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,AEV PM Equity 2020,3743.0,192.695,,,,,,,,,,,,,,,,,,569779.7188,186725.828,266028.1528,ABOITIZ EQUITY VENTURES INC,5630.225,47.25,330140.809,66926.871,609155.927

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,44420.85303236373,2286.849125052452,0.0,46707.702157416184
BMO,22209.84964866471,1143.3948645603648,0.0,23353.244513225072
TD,16497.397955093424,849.3096711078618,0.0,17346.707626201285
Scotiabank,8061.920531442342,415.0392136805455,0.0,8476.959745122887
CIBC,11439.156235798215,588.9041439639693,0.0,12028.060379762184
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,27.788130399708585,1.430572745757907,0.0,29.218703145466492
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,38.228025466333285,1.968033493784422,0.0,40.19605896011771
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,166.0393553655499,8.547943783640031,0.0,174.58729914918993
OMERS,0.0,0.0,0.0,0.0
CPPIB,2329.728712832682,119.9377703230814,0.0,2449.6664831557637
Healthcare of Ontario Pension Plan Trust Fund,897.5917867591945,46.20931053955731,0.0,943.8010972987519
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
