year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,BANPU TB Equity 2020,3389.82,243.591,65656.797,,,,,,,,,,,,,,,,,7334.889,2282.635,1894.98,BANPU PUBLIC CO LTD,6022.5767,9.269,5442.13,741.683,9376.66

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,7967545.639362949,572544.3857898236,0.0,8540090.025152773
BMO,2227925.9135927553,160097.79316246082,0.0,2388023.7067552162
TD,2428183.208846532,174488.19584111706,0.0,2602671.4046876486
Scotiabank,931337.3836874268,66925.50183484786,0.0,998262.8855222746
CIBC,1027194.2763828642,73813.73671120539,0.0,1101008.0130940697
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,872.9549441155052,62.7301649621632,0.0,935.6851090776684
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,183513.7332109046,13187.217547414748,0.0,196700.95075831935
OMERS,0.0,0.0,0.0,0.0
CPPIB,2660063.6547193113,191151.02445461167,0.0,2851214.679173923
Healthcare of Ontario Pension Plan Trust Fund,111020.90716524713,7977.914401735112,0.0,118998.82156698224
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,13239.220371718962,951.3646534528068,0.0,14190.58502517177
