year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,EBK GR Equity 2020,9559.19,769.0,49453.5,,,568.708,6286.71,,1.678,,,,,42596.398,,,,,,27516.4815,,15167.8815,ENBW ENERGIE BADEN-WUERTTEMB,277.4213,54.675,10499.6,2012.2,45965.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,201798.2958266123,16233.895287222542,1043982.8910055765,1262015.0821194113
BMO,118360.18346662322,9521.620669307049,612324.3311311471,740206.1352670774
TD,65017.242938639785,5230.3866561721225,336360.07167579734,406607.7012706093
Scotiabank,127741.72447747565,10276.329492684921,660858.776213936,798876.8301840966
CIBC,49845.187430426595,4009.8532547211685,257868.99073242364,311724.0314175714
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,294.9456666047925,23.727242331106027,1525.8713085278255,1844.544217463724
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,592.4122363429593,47.657281605212965,3064.7842521712737,3704.853770119446
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,19316.42025948054,1553.931575744444,99931.52907345696,120801.88090868194
OMERS,0.0,0.0,0.0,0.0
CPPIB,39470.41058502468,3175.242435800939,204196.14141407944,246841.79443490505
Healthcare of Ontario Pension Plan Trust Fund,25805.855150569314,2075.9816062645273,133503.95826984802,161385.79502668185
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1701.6096150276492,136.8879365256117,8803.10370304515,10641.60125459841
