year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,PKN PW Equity 2020,27038.699,1646.12,350303.0,16579.1992,0.0,6290.9502,552.784,14.699,2.185,0.0,0.0,246.594,2434.54,149030.0,0.0,0.0,0.0,0.0,,43393.367,86178.0,24687.367,ORLEN SA,427.7091,57.72,19574.0,1661.0,84048.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,274312.70714864,16700.198241473056,1776939.4762001631,2067952.3815902763
BMO,281096.6505965582,17113.20572339691,1820884.4215226676,2119094.2778426227
TD,102892.72961166738,6264.124618878959,666517.2567521275,775674.1109826739
Scotiabank,134994.34124526122,8218.475489913524,874464.681260136,1017677.4979953107
CIBC,77141.34466697076,4696.376489238402,499705.2524862696,581542.9736424787
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,9.85719906865726,0.6001077393146057,63.85284273531479,74.31014954328666
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,26552.00855793978,1616.490213800443,171998.27404802627,200166.77281976648
OMERS,0.0,0.0,0.0,0.0
CPPIB,13901.936419829623,846.3519483466988,90053.79253770562,104802.08090588194
Healthcare of Ontario Pension Plan Trust Fund,10524.202872303069,640.715029674894,68173.55176040443,79338.4696623824
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,2957.1597205971784,180.0323217943817,19155.852820594435,22293.044862985997
