year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,PPL US Equity 2020,25061.1,42.006,6687.76,,,4673.4502,,,0.613,11.158,,,,2002.54,,,,,,37192.1774,7607.0,21683.1774,PPL CORP,768.59,28.2,15951.0,442.0,48116.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1112487.373358851,1864.6884855537824,296876.429647511,1411228.491491916
BMO,606274.1695596698,1016.2025117222902,161789.26175400842,769079.6338254005
TD,219035.20390881455,367.13443445793143,58451.35042497969,277853.68876825215
Scotiabank,251899.961935468,422.220485176679,67221.58212183423,319543.7645424789
CIBC,229065.10966423212,383.94599584837596,61127.913486885926,290576.9691469664
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,362.91661756177854,0.6083003314818611,96.84729216853614,460.3722100617965
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,140839.38646372003,236.06702290781422,37584.151702194715,178659.60518882255
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,64058.25035587266,107.37082029315502,17094.472360346965,81260.09353651278
OMERS,34737.1303847747,58.22441548626541,9269.889701036158,44065.24450129712
CPPIB,1757668.7470490371,2946.105054787773,469048.39966989344,2229663.2517737183
Healthcare of Ontario Pension Plan Trust Fund,26520.651931759778,44.45241849102798,7077.25466910583,33642.359019356634
OTPP,707.340668623594,1.1856044677289779,188.75969046861186,897.2859635599348
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,4396.60768536626,7.369345417060509,1173.2710172264697,5577.24804800979
