year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,SNP RO Equity 2020,4180.0,94.0,24740.0,,,,,,,,,,,,,,,,,13914.1389,19716.98,20590.0589,OMV PETROM SA,61212.5645,0.3364,1341.2,8017.62,47620.82

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,15032.325138224836,338.04750310840535,0.0,15370.372641333242
BMO,8215.43254546008,184.74896154862384,0.0,8400.181507008705
TD,3286.5384372455583,73.90780217729245,0.0,3360.446239422851
Scotiabank,744.4398325640534,16.74099145000503,0.0,761.1808240140584
CIBC,3550.4522039031176,79.84270506385,0.0,3630.294908966968
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,45.47437210099481,1.0226294204529935,0.0,46.49700152144781
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,7224.740867545551,162.47024917446933,0.0,7387.21111672002
Healthcare of Ontario Pension Plan Trust Fund,6279.32055114228,141.2096009108551,0.0,6420.530152053136
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
