year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,WEC US Equity 2020,20192.199,74.0,29600.301,,,2766.0,201.0,,1.3,,,,,26632.0,,,,,,43524.0399,7241.7,29029.4399,WEC ENERGY GROUP INC,315.4,92.03,14326.6,24.8,37028.1

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,370467.57310653455,1357.6827570827504,543078.6069523856,914903.8628160029
BMO,609914.9473687228,2235.205096051474,894091.100062871,1506241.2525276453
TD,99680.2997185626,365.3065314567092,146124.09355510853,246169.69980512784
Scotiabank,250695.54340199308,918.7444226231868,367501.49368882587,619115.7815134422
CIBC,226294.7164015383,829.320720032218,331731.65012391435,558855.6872454849
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,64.68862346186707,0.23706967904675283,94.82883271199456,159.7545258529084
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,7105.314931859915,26.03942765013527,10415.876625301338,17547.230984811387
OMERS,0.0,0.0,0.0,0.0
CPPIB,1117972.4402722633,4097.124863921333,1638866.5555341977,2760936.1206703824
Healthcare of Ontario Pension Plan Trust Fund,147230.6114226131,539.5680403740756,215829.40358763174,363599.5830506189
OTPP,1391.1531927283243,5.098272667672103,2039.3297357418185,3435.581201137815
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,10679.18748397898,39.1368901333849,15654.91471642207,26373.239090534436
