year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,096770 KS Equity 2021,9008.83,2201.67,118347.0,16581.0,0.0,611.0,3861.0,11.0,2.833,14.0,0.0,2451.0,,85325.0,9491.0,0.0,,,,32119975.04,46842929.0,19964598.29,SK INNOVATION CO LTD,87.5544,226966.0,17459939.14,7581925.598,49544942.82

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,85.61922444070373,20.924501613901494,1124.7686631558065,1231.3123892104118
BMO,48.763275865041216,11.917268010805541,640.5968398347875,701.2773837106342
TD,46.18940157147535,11.288238290418416,606.7841865759374,664.2618264378311
Scotiabank,39.26963258623122,9.597114384012983,515.8800775779596,564.7468245482038
CIBC,24.281688220735045,5.934207272747485,318.9853934978924,349.20128899137495
National Bank of Canada,3.7696609131222347,0.921268282628691,49.52154721676597,54.21247641251689
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,11.316653823341216,2.7656795858325283,148.66541568700904,162.7477490961828
OMERS,0.0,0.0,0.0,0.0
CPPIB,7.987854618636556,1.9521535957736518,104.93541163887849,114.8754198532887
Healthcare of Ontario Pension Plan Trust Fund,4.24210943790545,1.036730084389792,55.72804230127087,61.00688182356611
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
