year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,1171 HK Equity 2021,14348.4,2833.2,,,,,,,,,,,,,,,,,,197742.7514,108615.647,93988.5954,YANKUANG ENERGY GROUP CO-H,9497.6154,7.949,104500.125,40044.795,301959.007

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,29669.221919237236,5858.412055809912,0.0,35527.633975047145
BMO,16748.9045080463,3307.1977539096197,0.0,20056.10226195592
TD,13824.986940915598,2729.8481364474137,0.0,16554.83507736301
Scotiabank,15476.932432166126,3056.037256196724,0.0,18532.96968836285
CIBC,8214.845100238617,1622.0832384095825,0.0,9836.9283386482
National Bank of Canada,1283.7269786457516,253.48159208686295,0.0,1537.2085707326146
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,1276.5519081265045,252.06482019625963,0.0,1528.6167283227642
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,3828.58709685537,755.9834520093275,0.0,4584.570548864697
OMERS,0.0,0.0,0.0,0.0
CPPIB,2730.4959852607817,539.1570645814758,0.0,3269.6530498422576
Healthcare of Ontario Pension Plan Trust Fund,1435.1667649243325,283.3845222034247,0.0,1718.5512871277572
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
